------------train
------------train
1
0
it: 14300/80000, lr: 0.008471, loss: 3.3160, eta: 21:05:37, time: 111.1994
it: 14400/80000, lr: 0.008460, loss: 3.3388, eta: 21:03:21, time: 111.2092
it: 14500/80000, lr: 0.008448, loss: 3.5067, eta: 21:01:01, time: 109.9943
it: 14600/80000, lr: 0.008436, loss: 3.2704, eta: 20:59:15, time: 117.6721
it: 14700/80000, lr: 0.008425, loss: 3.3408, eta: 20:56:58, time: 110.6545
it: 14800/80000, lr: 0.008413, loss: 3.3101, eta: 20:54:42, time: 110.8490
it: 14900/80000, lr: 0.008402, loss: 3.3237, eta: 20:53:01, time: 118.7544
it: 15000/80000, lr: 0.008390, loss: 3.2727, eta: 20:50:44, time: 110.5245
it: 15100/80000, lr: 0.008378, loss: 3.1859, eta: 20:48:28, time: 110.8133
it: 15200/80000, lr: 0.008367, loss: 3.3564, eta: 20:46:13, time: 110.7550
it: 15300/80000, lr: 0.008355, loss: 3.2673, eta: 20:44:20, time: 115.9468
it: 15400/80000, lr: 0.008344, loss: 3.2598, eta: 20:42:02, time: 110.0302
it: 15500/80000, lr: 0.008332, loss: 3.1869, eta: 20:39:43, time: 109.5963
it: 15600/80000, lr: 0.008320, loss: 3.1573, eta: 20:37:23, time: 109.3803
it: 15700/80000, lr: 0.008309, loss: 3.3405, eta: 20:35:28, time: 115.3808
it: 15800/80000, lr: 0.008297, loss: 3.2630, eta: 20:33:09, time: 109.3372
it: 15900/80000, lr: 0.008285, loss: 3.2497, eta: 20:30:50, time: 109.3618
it: 16000/80000, lr: 0.008274, loss: 3.3073, eta: 20:28:58, time: 116.0111
it: 16100/80000, lr: 0.008262, loss: 3.2155, eta: 20:26:39, time: 109.4122
it: 16200/80000, lr: 0.008251, loss: 3.2101, eta: 20:24:25, time: 110.3408
it: 16300/80000, lr: 0.008239, loss: 3.1956, eta: 20:22:14, time: 110.9677
it: 16400/80000, lr: 0.008227, loss: 3.1926, eta: 20:20:29, time: 117.8011
it: 16500/80000, lr: 0.008216, loss: 3.2440, eta: 20:18:15, time: 110.3328
it: 16600/80000, lr: 0.008204, loss: 3.2697, eta: 20:16:05, time: 111.1275
it: 16700/80000, lr: 0.008192, loss: 3.3306, eta: 20:13:55, time: 111.0483
it: 16800/80000, lr: 0.008181, loss: 3.2793, eta: 20:12:06, time: 116.8753
it: 16900/80000, lr: 0.008169, loss: 3.2184, eta: 20:09:56, time: 111.0666
it: 17000/80000, lr: 0.008157, loss: 3.2843, eta: 20:07:49, time: 111.7190
it: 17100/80000, lr: 0.008146, loss: 3.3277, eta: 20:05:41, time: 111.5008
it: 17200/80000, lr: 0.008134, loss: 3.2198, eta: 20:03:54, time: 117.2800
it: 17300/80000, lr: 0.008122, loss: 3.2671, eta: 20:01:48, time: 111.9204
it: 17400/80000, lr: 0.008111, loss: 3.1852, eta: 19:59:42, time: 111.9586
it: 17500/80000, lr: 0.008099, loss: 3.1977, eta: 19:57:58, time: 117.9978
it: 17600/80000, lr: 0.008087, loss: 3.1934, eta: 19:55:50, time: 111.3625
it: 17700/80000, lr: 0.008076, loss: 3.2039, eta: 19:53:45, time: 112.0732
it: 17800/80000, lr: 0.008064, loss: 3.3163, eta: 19:51:39, time: 111.9939
it: 17900/80000, lr: 0.008052, loss: 3.2799, eta: 19:50:03, time: 120.4240
it: 18000/80000, lr: 0.008041, loss: 3.2394, eta: 19:47:57, time: 111.7762
it: 18100/80000, lr: 0.008029, loss: 3.2755, eta: 19:45:52, time: 111.8921
it: 18200/80000, lr: 0.008017, loss: 3.1554, eta: 19:43:48, time: 112.2343
it: 18300/80000, lr: 0.008006, loss: 3.1890, eta: 19:42:12, time: 120.7697
it: 18400/80000, lr: 0.007994, loss: 3.1225, eta: 19:40:09, time: 112.3059
it: 18500/80000, lr: 0.007982, loss: 3.2215, eta: 19:38:05, time: 112.2372
it: 18600/80000, lr: 0.007971, loss: 3.3193, eta: 19:36:00, time: 111.9797
it: 18700/80000, lr: 0.007959, loss: 3.3109, eta: 19:34:22, time: 120.0637
it: 18800/80000, lr: 0.007947, loss: 3.2879, eta: 19:32:18, time: 112.1942
it: 18900/80000, lr: 0.007936, loss: 3.2748, eta: 19:30:13, time: 111.8649
it: 19000/80000, lr: 0.007924, loss: 3.2601, eta: 19:28:28, time: 117.8544
it: 19100/80000, lr: 0.007912, loss: 3.2383, eta: 19:26:21, time: 111.0820
it: 19200/80000, lr: 0.007901, loss: 3.2270, eta: 19:24:13, time: 111.0629
it: 19300/80000, lr: 0.007889, loss: 3.1924, eta: 19:22:07, time: 111.3404
it: 19400/80000, lr: 0.007877, loss: 3.2952, eta: 19:20:19, time: 117.0588
it: 19500/80000, lr: 0.007865, loss: 3.3471, eta: 19:18:14, time: 111.6103
it: 19600/80000, lr: 0.007854, loss: 3.2421, eta: 19:16:09, time: 111.3152
it: 19700/80000, lr: 0.007842, loss: 3.1430, eta: 19:14:01, time: 110.7318
it: 19800/80000, lr: 0.007830, loss: 3.2531, eta: 19:12:13, time: 116.9608
it: 19900/80000, lr: 0.007819, loss: 3.2252, eta: 19:10:07, time: 111.3414
it: 20000/80000, lr: 0.007807, loss: 3.2310, eta: 19:08:02, time: 111.2761
it: 20100/80000, lr: 0.007795, loss: 3.1908, eta: 19:06:20, time: 119.0373
it: 20200/80000, lr: 0.007783, loss: 3.2461, eta: 19:04:13, time: 110.8866
it: 20300/80000, lr: 0.007772, loss: 3.2126, eta: 19:02:08, time: 111.2543
it: 20400/80000, lr: 0.007760, loss: 3.2847, eta: 19:00:04, time: 111.5486
it: 20500/80000, lr: 0.007748, loss: 3.2100, eta: 18:58:23, time: 119.4390
it: 20600/80000, lr: 0.007737, loss: 3.1935, eta: 18:56:18, time: 111.4262
it: 20700/80000, lr: 0.007725, loss: 3.2892, eta: 18:54:13, time: 111.1635
it: 20800/80000, lr: 0.007713, loss: 3.3828, eta: 18:52:07, time: 110.8426
it: 20900/80000, lr: 0.007701, loss: 3.1304, eta: 18:50:25, time: 119.1680
it: 21000/80000, lr: 0.007690, loss: 3.2482, eta: 18:48:20, time: 111.2663
it: 21100/80000, lr: 0.007678, loss: 3.2111, eta: 18:46:16, time: 111.4860
it: 21200/80000, lr: 0.007666, loss: 3.1905, eta: 18:44:11, time: 110.9492
it: 21300/80000, lr: 0.007654, loss: 3.1841, eta: 18:42:31, time: 120.1786
