------------train
------------train
1
0
it: 7100/80000, lr: 0.009302, loss: 3.3582, eta: 12:05:06, time: 60.1438
it: 7200/80000, lr: 0.009291, loss: 3.4601, eta: 12:03:20, time: 55.0887
it: 7300/80000, lr: 0.009279, loss: 3.2356, eta: 12:02:22, time: 59.7939
it: 7400/80000, lr: 0.009268, loss: 3.3414, eta: 12:01:29, time: 60.2131
it: 7500/80000, lr: 0.009256, loss: 3.3701, eta: 12:00:29, time: 59.5900
it: 7600/80000, lr: 0.009245, loss: 3.3537, eta: 11:58:45, time: 54.9670
it: 7700/80000, lr: 0.009233, loss: 3.3877, eta: 11:57:53, time: 60.3948
it: 7800/80000, lr: 0.009222, loss: 3.3331, eta: 11:56:55, time: 59.7332
it: 7900/80000, lr: 0.009210, loss: 3.3542, eta: 11:56:05, time: 60.6545
it: 8000/80000, lr: 0.009199, loss: 3.3453, eta: 11:54:24, time: 55.0320
it: 8100/80000, lr: 0.009187, loss: 3.3132, eta: 11:53:56, time: 63.0625
it: 8200/80000, lr: 0.009176, loss: 3.2905, eta: 11:53:42, time: 64.7794
it: 8300/80000, lr: 0.009164, loss: 3.2589, eta: 11:52:03, time: 55.0448
it: 8400/80000, lr: 0.009153, loss: 3.4115, eta: 11:50:31, time: 55.7980
it: 8500/80000, lr: 0.009141, loss: 3.3696, eta: 11:49:51, time: 61.9201
it: 8600/80000, lr: 0.009130, loss: 3.3156, eta: 11:49:34, time: 64.5918
it: 8700/80000, lr: 0.009118, loss: 3.3012, eta: 11:48:00, time: 55.4695
it: 8800/80000, lr: 0.009107, loss: 3.2643, eta: 11:47:06, time: 60.2456
it: 8900/80000, lr: 0.009095, loss: 3.3065, eta: 11:46:18, time: 61.1317
it: 9000/80000, lr: 0.009084, loss: 3.3027, eta: 11:45:16, time: 59.2266
it: 9100/80000, lr: 0.009072, loss: 3.3996, eta: 11:43:45, time: 55.5343
it: 9200/80000, lr: 0.009061, loss: 3.2771, eta: 11:43:03, time: 61.9338
it: 9300/80000, lr: 0.009049, loss: 3.3582, eta: 11:42:05, time: 59.7648
it: 9400/80000, lr: 0.009038, loss: 3.2980, eta: 11:41:08, time: 59.9438
it: 9500/80000, lr: 0.009026, loss: 3.3176, eta: 11:40:00, time: 58.4159
it: 9600/80000, lr: 0.009015, loss: 3.3205, eta: 11:39:21, time: 62.3699
it: 9700/80000, lr: 0.009003, loss: 3.2266, eta: 11:38:35, time: 61.4355
it: 9800/80000, lr: 0.008992, loss: 3.2617, eta: 11:37:04, time: 55.2309
it: 9900/80000, lr: 0.008980, loss: 3.2928, eta: 11:36:05, time: 59.7771
it: 10000/80000, lr: 0.008969, loss: 3.3213, eta: 11:35:15, time: 60.8957
it: 10100/80000, lr: 0.008957, loss: 3.3590, eta: 11:34:22, time: 60.4826
it: 10200/80000, lr: 0.008946, loss: 3.3553, eta: 11:32:52, time: 55.1782
it: 10300/80000, lr: 0.008934, loss: 3.3043, eta: 11:32:05, time: 61.4615
it: 10400/80000, lr: 0.008923, loss: 3.3274, eta: 11:31:23, time: 62.1790
it: 10500/80000, lr: 0.008911, loss: 3.2738, eta: 11:30:36, time: 61.5227
it: 10600/80000, lr: 0.008899, loss: 3.4200, eta: 11:29:05, time: 54.8671
it: 10700/80000, lr: 0.008888, loss: 3.2086, eta: 11:28:10, time: 60.2902
it: 10800/80000, lr: 0.008876, loss: 3.2465, eta: 11:27:59, time: 67.0514
it: 10900/80000, lr: 0.008865, loss: 3.2990, eta: 11:26:38, time: 56.3065
it: 11000/80000, lr: 0.008853, loss: 3.2616, eta: 11:25:13, time: 55.5893
it: 11100/80000, lr: 0.008842, loss: 3.3485, eta: 11:24:27, time: 61.8239
it: 11200/80000, lr: 0.008830, loss: 3.2905, eta: 11:24:08, time: 66.2226
it: 11300/80000, lr: 0.008819, loss: 3.2729, eta: 11:24:03, time: 68.5878
it: 11400/80000, lr: 0.008807, loss: 3.2594, eta: 11:22:35, time: 55.1612
it: 11500/80000, lr: 0.008796, loss: 3.2396, eta: 11:21:07, time: 54.8918
it: 11600/80000, lr: 0.008784, loss: 3.2335, eta: 11:20:07, time: 59.5251
it: 11700/80000, lr: 0.008772, loss: 3.2716, eta: 11:18:39, time: 54.9379
it: 11800/80000, lr: 0.008761, loss: 3.2732, eta: 11:17:14, time: 55.1021
it: 11900/80000, lr: 0.008749, loss: 3.2859, eta: 11:15:45, time: 54.5026
it: 12000/80000, lr: 0.008738, loss: 3.2321, eta: 11:14:52, time: 60.6888
it: 12100/80000, lr: 0.008726, loss: 3.1882, eta: 11:14:15, time: 63.5543
it: 12200/80000, lr: 0.008715, loss: 3.2292, eta: 11:13:19, time: 60.2784
it: 12300/80000, lr: 0.008703, loss: 3.2448, eta: 11:12:16, time: 58.8791
it: 12400/80000, lr: 0.008691, loss: 3.2329, eta: 11:11:00, time: 56.5927
it: 12500/80000, lr: 0.008680, loss: 3.1927, eta: 11:09:58, time: 59.1973
it: 12600/80000, lr: 0.008668, loss: 3.3097, eta: 11:08:35, time: 54.9986
it: 12700/80000, lr: 0.008657, loss: 3.2614, eta: 11:07:42, time: 60.8376
it: 12800/80000, lr: 0.008645, loss: 3.1762, eta: 11:06:47, time: 60.3116
it: 12900/80000, lr: 0.008634, loss: 3.1865, eta: 11:05:23, time: 54.9105
it: 13000/80000, lr: 0.008622, loss: 3.2730, eta: 11:04:01, time: 55.0517
it: 13100/80000, lr: 0.008610, loss: 3.2745, eta: 11:03:50, time: 69.0355
it: 13200/80000, lr: 0.008599, loss: 3.2911, eta: 11:02:53, time: 59.9299
it: 13300/80000, lr: 0.008587, loss: 3.1895, eta: 11:01:33, time: 55.4595
it: 13400/80000, lr: 0.008576, loss: 3.2420, eta: 11:00:54, time: 63.8187
it: 13500/80000, lr: 0.008564, loss: 3.1480, eta: 11:00:12, time: 63.0578
it: 13600/80000, lr: 0.008552, loss: 3.1869, eta: 10:58:57, time: 56.2933
it: 13700/80000, lr: 0.008541, loss: 3.2104, eta: 10:57:36, time: 55.2017
it: 13800/80000, lr: 0.008529, loss: 3.3230, eta: 10:57:17, time: 67.8773
it: 13900/80000, lr: 0.008518, loss: 3.2451, eta: 10:56:31, time: 62.5146
it: 14000/80000, lr: 0.008506, loss: 3.2002, eta: 10:55:13, time: 55.6616
it: 14100/80000, lr: 0.008495, loss: 3.2882, eta: 10:54:06, time: 58.0619
it: 14200/80000, lr: 0.008483, loss: 3.3430, eta: 10:53:44, time: 67.6561
it: 14300/80000, lr: 0.008471, loss: 3.2735, eta: 10:52:24, time: 55.0765
it: 14400/80000, lr: 0.008460, loss: 3.2413, eta: 10:51:24, time: 59.3999
it: 14500/80000, lr: 0.008448, loss: 3.1966, eta: 10:50:24, time: 59.4768
it: 14600/80000, lr: 0.008436, loss: 3.1553, eta: 10:49:23, time: 59.4566
it: 14700/80000, lr: 0.008425, loss: 3.3003, eta: 10:48:32, time: 61.3115
it: 14800/80000, lr: 0.008413, loss: 3.2006, eta: 10:47:37, time: 60.6505
it: 14900/80000, lr: 0.008402, loss: 3.2393, eta: 10:46:37, time: 59.6927
it: 15000/80000, lr: 0.008390, loss: 3.2037, eta: 10:45:36, time: 59.1819
it: 15100/80000, lr: 0.008378, loss: 3.1841, eta: 10:44:51, time: 63.0301
it: 15200/80000, lr: 0.008367, loss: 3.2926, eta: 10:43:41, time: 57.0408
it: 15300/80000, lr: 0.008355, loss: 3.1442, eta: 10:42:41, time: 59.4971
it: 15400/80000, lr: 0.008344, loss: 3.1672, eta: 10:41:54, time: 62.5794
it: 15500/80000, lr: 0.008332, loss: 3.2398, eta: 10:41:02, time: 61.6571
it: 15600/80000, lr: 0.008320, loss: 3.1782, eta: 10:39:44, time: 54.9985
it: 15700/80000, lr: 0.008309, loss: 3.1776, eta: 10:38:57, time: 62.7826
it: 15800/80000, lr: 0.008297, loss: 3.1698, eta: 10:38:11, time: 62.9906
it: 15900/80000, lr: 0.008285, loss: 3.1204, eta: 10:37:07, time: 58.5246
it: 16000/80000, lr: 0.008274, loss: 3.0899, eta: 10:36:10, time: 60.1901
it: 16100/80000, lr: 0.008262, loss: 3.2108, eta: 10:35:19, time: 61.8697
it: 16200/80000, lr: 0.008251, loss: 3.1809, eta: 10:34:29, time: 62.1242
it: 16300/80000, lr: 0.008239, loss: 3.1801, eta: 10:33:13, time: 55.4666
it: 16400/80000, lr: 0.008227, loss: 3.1042, eta: 10:32:21, time: 61.6591
it: 16500/80000, lr: 0.008216, loss: 3.2592, eta: 10:31:31, time: 62.0576
it: 16600/80000, lr: 0.008204, loss: 3.1987, eta: 10:30:19, time: 56.6968
it: 16700/80000, lr: 0.008192, loss: 3.2028, eta: 10:29:02, time: 55.0148
